transaction_id,card_id,transaction_date,station_country_code,product_type,volume,net_amount_local,vat_amount_local,gross_amount_local,exchange_rate_eur
100245,2096,2/5/2026,LT,LPG,96.98,401.22,92.28,493.50,1
100246,2097,2/4/2026,RO,ADBLUE,304.08,1231.55,283.26,1514.81,0.5
100247,2098,2/20/2026,BG,LPG,197.92,1117.21,256.96,1374.17,0.5
100248,2099,1/16/2026,SI,PETROL,344.8,1517.05,348.92,1865.97,1
100249,2100,3/8/2026,HR,DIESEL,47.85,211.76,48.7,260.46,1
100251,2102,4/10/2026,DE,DIESEL,396.78,1969.35,452.95,2422.30,1
100252,2103,2/10/2026,CZ,PETROL,277.28,1407.2,323.66,1730.86,0.038884
100253,2104,4/15/2026,CH,LPG,405.72,1845.68,424.51,2270.19,1.048614
100254,2105,3/11/2026,SK,LPG,321.33,1770.23,407.15,2177.38,1
100255,2106,2/9/2026,HU,DIESEL,222.21,1009.19,232.11,1241.30,0.002635
100256,2107,3/26/2026,AT,LPG,346.24,1530.28,351.96,1882.24,1
100257,2108,3/25/2026,FR,LPG,192.36,928.89,213.64,1142.53,1
100258,2109,2/11/2026,BE,PETROL,214.21,1057.25,243.17,1300.42,1
100259,2110,4/12/2026,NL,DIESEL,242.03,1235.48,284.16,1519.64,1
100260,2111,1/19/2026,ES,DIESEL,87.06,458.11,105.37,563.48,1
100261,2112,3/15/2026,PT,DIESEL,316.03,1695.85,390.05,2085.90,1
100262,2113,3/14/2026,IT,LPG,249.63,1169.95,269.09,1439.04,1
100263,2114,2/5/2026,GR,LPG,233.91,1115.96,256.67,1372.63,1
100264,2115,3/27/2026,DK,PETROL,87.69,469.36,107.95,577.31,0.5
100265,2116,4/6/2026,SE,LPG,340.61,1703.12,391.72,2094.84,0.5
100266,2117,4/13/2026,NO,LPG,39.36,199.52,45.89,245.41,0.5
100267,2118,4/11/2026,FI,PETROL,253.12,1163.58,267.62,1431.20,1
100268,2119,1/25/2026,EE,DIESEL,203.67,887.31,204.08,1091.39,1
100269,2120,3/1/2026,LV,DIESEL,282.78,1546.04,355.59,1901.63,1
100271,2122,3/1/2026,RO,PETROL,316.95,1402.72,322.63,1725.35,0.5
100272,2123,1/31/2026,BG,LPG,322.27,1383.51,318.21,1701.72,0.5
100273,2124,1/21/2026,SI,LPG,33.07,158.73,36.51,195.24,1
100274,2125,1/30/2026,HR,ADBLUE,57.78,270.02,62.1,332.12,1
100275,2126,4/12/2026,PL,LPG,43.55,182.7,42.02,224.72,0.235506
100276,2127,2/6/2026,DE,PETROL,219.28,1092.32,251.23,1343.55,1
100277,2128,2/12/2026,CZ,PETROL,331.58,1539.64,354.12,1893.76,0.041604
100278,2129,2/7/2026,CH,DIESEL,201.69,1183.55,272.22,1455.77,1.087417
100279,2130,3/19/2026,SK,DIESEL,383.8,1696.71,390.24,2086.95,1
100280,2131,3/5/2026,HU,PETROL,96.64,502.75,115.63,618.38,0.002439
100281,2132,2/17/2026,AT,DIESEL,399.68,1643.76,378.06,2021.82,1
100282,2133,4/3/2026,FR,DIESEL,107.87,568.34,130.72,699.06,1
100283,2134,1/23/2026,BE,PETROL,57.24,318.24,73.2,391.44,1
100284,2135,2/26/2026,NL,ADBLUE,259.88,1482.46,340.97,1823.43,1
100285,2136,2/3/2026,ES,DIESEL,303.23,1786.98,411.01,2197.99,1
100286,2137,3/20/2026,PT,LPG,394.78,1870.66,430.25,2300.91,1
100287,2138,2/17/2026,IT,PETROL,20.28,102.01,23.46,125.47,1
100288,2139,3/27/2026,GR,LPG,56.42,305.4,70.24,375.64,1
100289,2140,2/4/2026,DK,DIESEL,135.75,761.6,175.17,936.77,0.5
100291,2142,1/23/2026,NO,DIESEL,343.26,1987.72,457.18,2444.90,0.5
100292,2143,3/5/2026,FI,DIESEL,400.57,2388.48,549.35,2937.83,1
100293,2144,3/28/2026,EE,PETROL,119.68,669.08,153.89,822.97,1
100294,2145,4/1/2026,LV,DIESEL,76.37,323.97,74.51,398.48,1
100295,2146,2/16/2026,LT,LPG,266.93,1208.15,277.87,1486.02,1
100296,2147,1/18/2026,RO,DIESEL,246.3,1118.51,257.26,1375.77,0.5
100297,2148,2/11/2026,BG,DIESEL,266.2,1580.21,363.45,1943.66,0.5
100298,2149,2/21/2026,SI,LPG,349.37,1874.05,431.03,2305.08,1
100299,2150,4/5/2026,HR,PETROL,257.21,1038.82,238.93,1277.75,1
100300,2151,3/3/2026,PL,LPG,367.13,2144.75,493.29,2638.04,0.220332
100301,2152,3/27/2026,DE,PETROL,126.95,606.48,139.49,745.97,1
100302,2153,1/24/2026,CZ,LPG,213.73,1005.81,231.34,1237.15,0.038774
100303,2154,4/10/2026,CH,ADBLUE,243.99,1338.66,307.89,1646.55,1.046778
100304,2155,3/4/2026,SK,LPG,47.11,200.54,46.12,246.66,1
100305,2156,3/18/2026,HU,DIESEL,303.66,1293.86,297.59,1591.45,0.002651
100306,2157,3/14/2026,AT,LPG,310.26,1677.59,385.85,2063.44,1
100307,2158,2/21/2026,FR,LPG,341.78,1883.67,433.24,2316.91,1
100308,2159,1/27/2026,BE,DIESEL,276.08,1166.57,268.31,1434.88,1
100309,2160,2/8/2026,NL,PETROL,134.29,756.64,174.03,930.67,1
100311,2162,1/23/2026,PT,DIESEL,78.2,347.2,79.86,427.06,1
100312,2163,3/20/2026,IT,ADBLUE,361.04,1635.35,376.13,2011.48,1
100313,2164,2/5/2026,GR,DIESEL,186.15,757.15,174.14,931.29,1
100314,2165,3/23/2026,DK,PETROL,355.34,2096.02,482.08,2578.10,0.5
100315,2166,1/19/2026,SE,LPG,413.89,1927.39,443.3,2370.69,0.5
100316,2167,2/6/2026,NO,PETROL,158.7,681.86,156.83,838.69,0.5
100317,2168,2/15/2026,FI,DIESEL,174.08,831.39,191.22,1022.61,1
100318,2169,2/28/2026,EE,PETROL,361.14,1839.18,423.01,2262.19,1
100319,2170,2/11/2026,LV,PETROL,56.71,330.35,75.98,406.33,1
100320,2171,3/8/2026,LT,PETROL,328.01,1375.47,316.36,1691.83,1
100321,2172,4/9/2026,RO,DIESEL,147.45,708.95,163.06,872.01,0.5
100322,2173,3/2/2026,BG,LPG,167.77,793.41,182.48,975.89,0.5
100323,2174,4/6/2026,SI,DIESEL,288.36,1179.54,271.29,1450.83,1
100324,2175,2/11/2026,HR,LPG,131.84,644.08,148.14,792.22,1
100325,2176,2/16/2026,PL,DIESEL,20.02,109.01,25.07,134.08,0.225274
100326,2177,3/23/2026,DE,ADBLUE,416.2,2265.82,521.14,2786.96,1
100327,2178,3/28/2026,CZ,LPG,165.16,986.6,226.92,1213.52,0.039813
100328,2179,2/16/2026,CH,DIESEL,282.44,1412.52,324.88,1737.40,1.067804
100329,2180,3/20/2026,SK,ADBLUE,58.92,273,62.79,335.79,1
100331,2182,3/21/2026,AT,LPG,209.04,1025.92,235.96,1261.88,1
100332,2183,4/2/2026,FR,DIESEL,65.39,375.19,86.29,461.48,1
100333,2184,2/18/2026,BE,LPG,51.87,306.07,70.4,376.47,1
100334,2185,3/19/2026,NL,DIESEL,416,1740.26,400.26,2140.52,1
100335,2186,4/9/2026,ES,LPG,361.36,1731.61,398.27,2129.88,1
100336,2187,3/17/2026,PT,DIESEL,216.21,1008.22,231.89,1240.11,1
100337,2188,3/13/2026,IT,ADBLUE,187.66,1086.23,249.83,1336.06,1
100338,2189,1/16/2026,GR,PETROL,273.31,1604.01,368.92,1972.93,1
100339,2190,2/2/2026,DK,PETROL,20.19,109.69,25.23,134.92,0.5
100340,2191,2/22/2026,SE,DIESEL,134.72,595.99,137.08,733.07,0.5
100341,2192,3/29/2026,NO,LPG,70.94,378.19,86.98,465.17,0.5
100342,2193,3/26/2026,FI,LPG,76.74,438.46,100.85,539.31,1
100343,2194,2/1/2026,EE,DIESEL,259.73,1074.8,247.2,1322.00,1
100344,2195,2/7/2026,LV,LPG,338.26,1968.76,452.81,2421.57,1
100345,2196,4/10/2026,LT,DIESEL,418.6,1866.53,429.3,2295.83,1
100346,2197,2/1/2026,RO,ADBLUE,46.99,267.41,61.5,328.91,0.5
100347,2198,2/5/2026,BG,LPG,86.56,447.33,102.89,550.22,0.5
100348,2199,4/14/2026,SI,LPG,168.8,726.82,167.17,893.99,1
100349,2200,3/21/2026,HR,ADBLUE,144.87,795.73,183.02,978.75,1
100351,2202,3/3/2026,DE,DIESEL,303.26,1363.99,313.72,1677.71,1
100352,2203,2/11/2026,CZ,ADBLUE,204.66,894.41,205.71,1100.12,0.03881
100353,2204,3/7/2026,CH,DIESEL,271.14,1321.14,303.86,1625.00,1.057023
100354,2205,2/22/2026,SK,DIESEL,324.34,1455.33,334.73,1790.06,1
100355,2206,3/26/2026,HU,LPG,158.51,747.12,171.84,918.96,0.002697
100356,2207,3/16/2026,AT,DIESEL,353.23,1682.11,386.89,2069.00,1
100357,2208,3/18/2026,FR,DIESEL,35.93,213.07,49.01,262.08,1
100358,2209,3/28/2026,BE,PETROL,147.02,642.92,147.87,790.79,1
100359,2210,3/19/2026,NL,PETROL,330.57,1819.63,418.51,2238.14,1
100360,2211,3/18/2026,ES,ADBLUE,69.88,288,66.24,354.24,1
100361,2212,4/11/2026,PT,DIESEL,381.01,2006.3,461.45,2467.75,1
100362,2213,4/10/2026,IT,ADBLUE,267.47,1514.58,348.35,1862.93,1
100363,2214,3/17/2026,GR,LPG,419.04,2018.12,464.17,2482.29,1
100364,2215,3/3/2026,DK,ADBLUE,341.5,1598.76,367.71,1966.47,0.5
100365,2216,4/11/2026,SE,PETROL,53.83,274.75,63.19,337.94,0.5
100366,2217,4/15/2026,NO,ADBLUE,83.83,377.31,86.78,464.09,0.5
100367,2218,2/7/2026,FI,LPG,416.55,2119.73,487.54,2607.27,1
100368,2219,1/20/2026,EE,LPG,194.69,1042.8,239.84,1282.64,1
100369,2220,3/2/2026,LV,ADBLUE,304.75,1517.56,349.04,1866.60,1
100371,2222,3/20/2026,RO,ADBLUE,109.77,469.87,108.07,577.94,0.5
100372,2223,2/14/2026,BG,DIESEL,393.95,1633.12,375.62,2008.74,0.5
100373,2224,4/4/2026,SI,DIESEL,410.67,2081.8,478.81,2560.61,1
100374,2225,4/9/2026,HR,DIESEL,407.16,1751.54,402.85,2154.39,1
100375,2226,3/16/2026,PL,DIESEL,154.37,709.64,163.22,872.86,0.238062
100376,2227,2/28/2026,DE,LPG,190.59,870.31,200.17,1070.48,1
100377,2228,4/10/2026,CZ,DIESEL,279.66,1505.13,346.18,1851.31,0.039634
100378,2229,3/3/2026,CH,DIESEL,294,1420.36,326.68,1747.04,1.050343
100379,2230,2/19/2026,SK,DIESEL,85.74,472.52,108.68,581.20,1
100380,2231,1/29/2026,HU,DIESEL,401.07,2070.88,476.3,2547.18,0.002587
100381,2232,3/23/2026,AT,ADBLUE,370.8,2007.31,461.68,2468.99,1
100382,2233,2/13/2026,FR,DIESEL,139.68,612.69,140.92,753.61,1
100383,2234,1/30/2026,BE,DIESEL,339.05,1726.66,397.13,2123.79,1
100384,2235,3/28/2026,NL,ADBLUE,188.89,1010.12,232.33,1242.45,1
100385,2236,2/5/2026,ES,DIESEL,368,1684.36,387.4,2071.76,1
100386,2237,1/24/2026,PT,DIESEL,390.49,1839.68,423.13,2262.81,1
100387,2238,1/28/2026,IT,DIESEL,120.23,683.49,157.2,840.69,1
100388,2239,2/17/2026,GR,PETROL,113.14,492.05,113.17,605.22,1
100389,2240,4/5/2026,DK,PETROL,91.93,471.19,108.37,579.56,0.5
100391,2242,3/2/2026,NO,PETROL,205.41,1074.91,247.23,1322.14,0.5
100392,2243,2/11/2026,FI,PETROL,387.35,1647.25,378.87,2026.12,1
100393,2244,3/3/2026,EE,ADBLUE,122.92,607.23,139.66,746.89,1
100394,2245,2/9/2026,LV,LPG,407.41,2340.48,538.31,2878.79,1
100395,2246,3/18/2026,LT,PETROL,350.71,1808.3,415.91,2224.21,1
100396,2247,4/9/2026,RO,DIESEL,392.94,1769.12,406.9,2176.02,0.5
100397,2248,1/26/2026,BG,ADBLUE,414.32,1967.64,452.56,2420.20,0.5
100398,2249,4/15/2026,SI,DIESEL,345.79,1835.92,422.26,2258.18,1
100399,2250,2/3/2026,HR,LPG,324.03,1816.47,417.79,2234.26,1
100400,2251,3/23/2026,PL,DIESEL,398.2,1694.39,389.71,2084.10,0.222777
100401,2252,1/29/2026,DE,DIESEL,264.14,1424.47,327.63,1752.10,1
100402,2253,3/15/2026,CZ,ADBLUE,124.48,709.62,163.21,872.83,0.038262
100403,2254,2/28/2026,CH,LPG,414.49,1905.75,438.32,2344.07,1.085371
100404,2255,3/2/2026,SK,LPG,139.3,586.11,134.81,720.92,1
100405,2256,3/17/2026,HU,DIESEL,234.68,1348.87,310.24,1659.11,0.002418
100406,2257,3/21/2026,AT,DIESEL,31.02,157.33,36.19,193.52,1
100407,2258,4/6/2026,FR,ADBLUE,393.1,1660.43,381.9,2042.33,1
100408,2259,4/2/2026,BE,PETROL,84.5,371.82,85.52,457.34,1
100409,2260,3/12/2026,NL,PETROL,108.04,544.16,125.16,669.32,1
100411,2262,2/28/2026,PT,ADBLUE,338.23,1553.64,357.34,1910.98,1
100412,2263,2/9/2026,IT,DIESEL,256.81,1221.61,280.97,1502.58,1
100413,2264,3/10/2026,GR,ADBLUE,366.89,1961.84,451.22,2413.06,1
100414,2265,4/2/2026,DK,PETROL,235.49,1020.51,234.72,1255.23,0.5
100415,2266,2/1/2026,SE,DIESEL,394.02,1964.64,451.87,2416.51,0.5
100416,2267,1/19/2026,NO,ADBLUE,228.25,1189.35,273.55,1462.90,0.5
100417,2268,3/1/2026,FI,ADBLUE,171.64,904.4,208.01,1112.41,1
100418,2269,3/8/2026,EE,DIESEL,63.44,341.98,78.66,420.64,1
100419,2270,4/6/2026,LV,ADBLUE,377.15,2231.02,513.13,2744.15,1
100420,2271,2/11/2026,LT,LPG,413.61,2475.39,569.34,3044.73,1
100421,2272,2/10/2026,RO,PETROL,318.17,1683.69,387.25,2070.94,0.5
100422,2273,3/3/2026,BG,DIESEL,350.55,2016.94,463.9,2480.84,0.5
100423,2274,4/7/2026,SI,DIESEL,256.04,1370.3,315.17,1685.47,1
100424,2275,2/11/2026,HR,DIESEL,415.83,2269.46,521.98,2791.44,1
100425,2276,3/27/2026,PL,PETROL,44.21,257.9,59.32,317.22,0.231794
100426,2277,3/19/2026,DE,LPG,117.62,489.04,112.48,601.52,1
100427,2278,2/28/2026,CZ,DIESEL,325.94,1815.93,417.66,2233.59,0.039641
100428,2279,2/3/2026,CH,DIESEL,321.81,1584.55,364.45,1949.00,1.071934
100429,2280,3/6/2026,SK,PETROL,199.4,1181.94,271.85,1453.79,1
100431,2282,2/4/2026,AT,PETROL,383.88,2002.47,460.57,2463.04,1
100432,2283,2/16/2026,FR,LPG,131.17,658.89,151.54,810.43,1
100433,2284,2/3/2026,BE,DIESEL,342.26,1498.75,344.71,1843.46,1
100434,2285,3/31/2026,NL,PETROL,65.87,379.28,87.23,466.51,1
100435,2286,3/6/2026,ES,PETROL,205.99,997.76,229.48,1227.24,1
100436,2287,3/5/2026,PT,ADBLUE,396.69,2214.19,509.26,2723.45,1
100437,2288,2/8/2026,IT,LPG,365.48,1760.53,404.92,2165.45,1
100438,2289,2/15/2026,GR,PETROL,168.19,732.43,168.46,900.89,1
100439,2290,1/22/2026,DK,ADBLUE,396.88,1600.89,368.2,1969.09,0.5
100440,2291,4/13/2026,SE,DIESEL,340.08,1616.38,371.77,1988.15,0.5
100441,2292,1/25/2026,NO,PETROL,276.7,1403.68,322.85,1726.53,0.5
100442,2293,2/22/2026,FI,ADBLUE,173.34,821.14,188.86,1010.00,1
100443,2294,3/15/2026,EE,DIESEL,333.94,1674.98,385.25,2060.23,1
100444,2295,4/10/2026,LV,DIESEL,63.48,292.3,67.23,359.53,1
100445,2296,1/21/2026,LT,LPG,398.15,2268.36,521.72,2790.08,1
100446,2297,2/7/2026,RO,DIESEL,307.47,1367.45,314.51,1681.96,0.5
100447,2298,1/24/2026,BG,PETROL,410.94,2301,529.23,2830.23,0.5
100448,2299,3/2/2026,SI,DIESEL,376.27,2044.55,470.25,2514.80,1
100449,2300,4/7/2026,HR,DIESEL,338.92,1876.88,431.68,2308.56,1
100451,2302,3/23/2026,DE,ADBLUE,93.93,398.88,91.74,490.62,1
100452,2303,1/22/2026,CZ,DIESEL,321.7,1318.05,303.15,1621.20,0.038483
100453,2304,3/24/2026,CH,PETROL,414.6,2072.49,476.67,2549.16,1.064032
100454,2305,4/6/2026,SK,LPG,303.12,1483.4,341.18,1824.58,1
100455,2306,3/29/2026,HU,ADBLUE,136.66,763.98,175.72,939.70,0.002699
100456,2307,4/12/2026,AT,ADBLUE,297.72,1288.45,296.34,1584.79,1
100457,2308,2/27/2026,FR,DIESEL,251.91,1257.66,289.26,1546.92,1
100458,2309,1/26/2026,BE,DIESEL,54.66,293.51,67.51,361.02,1
100459,2310,1/20/2026,NL,LPG,61.36,316.15,72.71,388.86,1
100460,2311,3/28/2026,ES,ADBLUE,403.64,2204.43,507.02,2711.45,1
100461,2312,3/14/2026,PT,LPG,99.9,538.03,123.75,661.78,1
100462,2313,2/4/2026,IT,PETROL,321.74,1393.24,320.45,1713.69,1
100463,2314,3/21/2026,GR,LPG,310.15,1846.16,424.62,2270.78,1
100464,2315,3/26/2026,DK,ADBLUE,187.32,947.95,218.03,1165.98,0.5
100465,2316,4/9/2026,SE,ADBLUE,28.09,163.81,37.68,201.49,0.5
100466,2317,4/1/2026,NO,DIESEL,179.59,1072.24,246.62,1318.86,0.5
100467,2318,2/11/2026,FI,ADBLUE,299.82,1513.14,348.02,1861.16,1
100468,2319,3/18/2026,EE,DIESEL,136.79,649.41,149.36,798.77,1
100469,2320,1/28/2026,LV,DIESEL,178.13,856.09,196.9,1052.99,1
100471,2322,3/26/2026,RO,DIESEL,228.73,1036.46,238.39,1274.85,0.5
100472,2323,3/20/2026,BG,DIESEL,370.74,1884.39,433.41,2317.80,0.5
100473,2324,3/10/2026,SI,ADBLUE,152.55,625.45,143.85,769.30,1
100474,2325,2/11/2026,HR,LPG,251.07,1109.04,255.08,1364.12,1
100475,2326,2/10/2026,PL,PETROL,286.44,1578.34,363.02,1941.36,0.23041
100476,2327,4/3/2026,DE,ADBLUE,342.7,1619.73,372.54,1992.27,1
100477,2328,2/7/2026,CZ,DIESEL,375.11,2026.82,466.17,2492.99,0.041327
100478,2329,3/17/2026,CH,ADBLUE,39.2,223.71,51.45,275.16,1.061715
100479,2330,1/18/2026,SK,ADBLUE,314.76,1876.94,431.7,2308.64,1
100480,2331,2/20/2026,HU,ADBLUE,86.99,383.29,88.16,471.45,0.002652
100481,2332,2/9/2026,AT,LPG,88.01,466.03,107.19,573.22,1
100482,2333,3/18/2026,FR,DIESEL,289.66,1203.84,276.88,1480.72,1
100483,2334,4/11/2026,BE,DIESEL,320.86,1596,367.08,1963.08,1
100484,2335,3/8/2026,NL,PETROL,344.11,1944.76,447.29,2392.05,1
100485,2336,3/26/2026,ES,DIESEL,340.77,1805.36,415.23,2220.59,1
100486,2337,2/24/2026,PT,PETROL,94.69,449.52,103.39,552.91,1
100487,2338,4/14/2026,IT,PETROL,416.5,1987.76,457.18,2444.94,1
100488,2339,1/18/2026,GR,PETROL,256.45,1505.93,346.36,1852.29,1
100489,2340,4/12/2026,DK,DIESEL,37.4,179.66,41.32,220.98,0.5
100492,2343,2/11/2026,FI,ADBLUE,27.49,151.64,34.88,186.52,1
100493,2344,3/26/2026,EE,DIESEL,116.9,670.63,154.24,824.87,1
100494,2345,2/7/2026,LV,DIESEL,33.28,145.39,33.44,178.83,1
100495,2346,2/20/2026,LT,DIESEL,300.64,1764.78,405.9,2170.68,1
100496,2347,3/13/2026,RO,PETROL,67.28,324.12,74.55,398.67,0.5
100497,2348,4/12/2026,BG,PETROL,287.2,1393.71,320.55,1714.26,0.5
100498,2349,2/27/2026,SI,DIESEL,237.62,1361.74,313.2,1674.94,1
100499,2350,3/24/2026,HR,ADBLUE,355.38,1933.96,444.81,2378.77,1
100500,2351,1/17/2026,PL,PETROL,392.75,2156.25,495.94,2652.19,0.224624
100501,2352,3/22/2026,DE,DIESEL,284.77,1249.7,287.43,1537.13,1
100502,2353,3/23/2026,CZ,DIESEL,144.37,813.27,187.05,1000.32,0.041613
100503,2354,2/15/2026,CH,DIESEL,235.98,1226.43,282.08,1508.51,1.051909
100504,2355,1/21/2026,SK,ADBLUE,398.85,1864.5,428.84,2293.34,1
100505,2356,2/6/2026,HU,LPG,92.7,404.04,92.93,496.97,0.002442
100506,2357,1/23/2026,AT,DIESEL,27.37,122.37,28.15,150.52,1
100507,2358,2/15/2026,FR,LPG,351.57,1968.96,452.86,2421.82,1
100508,2359,4/15/2026,BE,DIESEL,330.87,1723.51,396.41,2119.92,1
100509,2360,4/1/2026,NL,PETROL,214.29,1001.59,230.37,1231.96,1
100511,2362,1/21/2026,PT,DIESEL,304.05,1257.19,289.15,1546.34,1
100512,2363,3/23/2026,IT,ADBLUE,263.32,1258.94,289.56,1548.50,1
100513,2364,3/30/2026,GR,PETROL,176.43,753.43,173.29,926.72,1
100514,2365,3/26/2026,DK,DIESEL,75.6,380.99,87.63,468.62,0.5
100515,2366,4/4/2026,SE,PETROL,415.43,2013.99,463.22,2477.21,0.5
100516,2367,3/18/2026,NO,DIESEL,336.29,1865.6,429.09,2294.69,0.5
100517,2368,4/2/2026,FI,ADBLUE,45.59,224.9,51.73,276.63,1
100518,2369,4/11/2026,EE,PETROL,79.45,377.11,86.74,463.85,1
100519,2370,4/8/2026,LV,ADBLUE,75.88,415.68,95.61,511.29,1
100520,2371,2/25/2026,LT,DIESEL,247.81,1357.51,312.23,1669.74,1
100521,2372,1/22/2026,RO,PETROL,409.95,2098.06,482.55,2580.61,0.5
100522,2373,2/8/2026,BG,DIESEL,251.14,1035.32,238.12,1273.44,0.5
100523,2374,3/15/2026,SI,DIESEL,96.75,548.85,126.24,675.09,1
100524,2375,3/14/2026,HR,ADBLUE,80.82,457.29,105.18,562.47,1
100525,2376,3/14/2026,PL,DIESEL,226.45,1350.28,310.56,1660.84,0.23248
100526,2377,3/1/2026,DE,LPG,161.04,783.74,180.26,964.00,1
100527,2378,3/1/2026,CZ,DIESEL,83.99,358.37,82.43,440.80,0.038011
100528,2379,3/11/2026,CH,ADBLUE,105.55,572.85,131.76,704.61,1.077998
100529,2380,2/9/2026,SK,ADBLUE,94.26,501.73,115.4,617.13,1
100531,2382,1/16/2026,AT,ADBLUE,397.62,2021.59,464.97,2486.56,1
100532,2383,1/29/2026,FR,LPG,269.05,1114.77,256.4,1371.17,1
100533,2384,2/28/2026,BE,DIESEL,87.93,438.63,100.88,539.51,1
100534,2385,2/14/2026,NL,LPG,119.84,505.37,116.24,621.61,1
100535,2386,2/16/2026,ES,LPG,100.32,559.02,128.57,687.59,1
100536,2387,4/14/2026,PT,PETROL,250.61,1255.23,288.7,1543.93,1
100537,2388,2/26/2026,IT,DIESEL,299.24,1363.51,313.61,1677.12,1
100538,2389,4/5/2026,GR,ADBLUE,211.49,1102.67,253.61,1356.28,1
100539,2390,3/24/2026,DK,ADBLUE,368.72,2024.36,465.6,2489.96,0.5
100540,2391,4/10/2026,SE,DIESEL,90.28,493.56,113.52,607.08,0.5
100541,2392,1/23/2026,NO,LPG,67.27,303.28,69.75,373.03,0.5
100542,2393,4/13/2026,FI,DIESEL,373.58,1804.44,415.02,2219.46,1
100543,2394,3/29/2026,EE,DIESEL,172.62,943.51,217.01,1160.52,1
100544,2395,3/6/2026,LV,PETROL,307.63,1735.97,399.27,2135.24,1
